epoch,loss,loc_loss,cls_loss,mAP,mAP@[.5:.95],num_classes_evaluated,seconds,best
1,8.722407,3.359492,5.362915,0.014379,,3,3.099,1
2,8.130921,3.230569,4.900352,0.012858,,3,2.539,0
