epoch,loss,train_rmse,val_rmse,val_abs_rel,val_delta1,seconds,best
1,28.362004,28.360911,28.818873,0.816715,0.005275,14.251,1
2,28.215117,28.213902,28.726995,0.815342,0.005275,14.126,1
